sentence,food,service,ambience,anecdotes/miscellaneous,price
I stopped by for some brunch today and had the vegan cranberry pancakes and some rice milk.,1.0,,,,
"Weekends can get crowded, but still highly recommended.",,,,,
It gets very crowded so I would suggest that you get their early.,,,,,
Sweet Irish bartender is always happy and able to bring a smile to my friends a my face.,,1.0,,,
I always find myself sitting next to someone in the theatre industry- interesting to hear ideas hashed out while having a quick bite to eat.,,,,0.0,
Its good to go there for drinks if you don't want to get drunk because you'll be lucky if you can get one drink an hour the service is so bad.,,2.0,,,
"Anyway, the owner was fake.",,0.0,,,
Owner is pleasant and entertaining.,,1.0,,,
"I have never in my life sent back food before, but I simply had to, and the waiter argued with me over this.",2.0,2.0,,,
"Although the restaurant itself is nice, I prefer not to go for the food.",2.0,,1.0,,
"Creamy appetizers--taramasalata, eggplant salad, and Greek yogurt (with cuccumber, dill, and garlic) taste excellent when on warm pitas.",1.0,,,,
